JAN,PRICE
4977444671812 ,430
4977444300613 ,430
4977444300620 ,430
4977444296916 ,450
4977444296923 ,450
4977444296930 ,450
4977444296947 ,450
4977444296954 ,450
4977444296978 ,450
4522017444470 ,450
4522017444487 ,450
4522017444494 ,450
4522017444500 ,450
4522017453168 ,450
4522017453175 ,450
4977444291010 ,680
4977444291072 ,680
4977444291119 ,680
4977444291126 ,680
4977444291164 ,680
4977444291881 ,680
4977444291904 ,680
4977444291911 ,680
4977444291232 ,680
4977444291300 ,680
4977444291324 ,680
4977444291379 ,680
4977444291423 ,680
4977444291461 ,680
4977444291546 ,680
4977444291553 ,680
4977444291560 ,680
4977444291577 ,680
4977444291591 ,680
4977444291614 ,680
4977444291638 ,680
4977444291669 ,680
4977444291683 ,680
4977444291690 ,680
4977444291713 ,680
4977444291720 ,680
4977444291980 ,680
4522017466298 ,680
4522017444517 ,680
4522017466304 ,680
4522017452925 ,680
4977444291096 ,680
4522017452918 ,680
4977444291188 ,680
4977444291195 ,680
4977444291201 ,680
4977444291225 ,680
4977444291737 ,680
4977444291249 ,680
4522017444524 ,680
4522017444586 ,680
4522017460623 ,680
4522017460630 ,680
4522017460647 ,680
4522017472374 ,680
4522017472381 ,680
4977444307612 ,9800
4977444773011 ,450
4977444773028 ,450
4977444773035 ,450
4977444773059 ,450
4977444773066 ,450
4977444773073 ,450
4977444773318 ,450
4977444773332 ,450
4977444773431 ,450
4977444773585 ,450
4522017443602 ,450
4522017453182 ,450
4522017453199 ,450
4977444773110 ,450
4977444773127 ,450
4977444773134 ,450
4977444773141 ,450
4977444773165 ,450
4977444773172 ,450
4977444773356 ,450
4977444773370 ,450
4977444773424 ,450
4977444773455 ,450
4977444773462 ,450
4977444773684 ,450
4522017443619 ,450
4522017453137 ,450
4522017453144 ,450
4977444992016 ,420
4977444187511 ,1600
4977444276017 ,580
4977444276024 ,580
4977444276031 ,580
4977444276048 ,580
4977444276055 ,580
4977444276062 ,580
4522017434235 ,490
4522017434242 ,490
4522017434266 ,490
4522017434273 ,490
4522017434280 ,490
4522017434327 ,490
4977444526815 ,220
4977444526822 ,240
4977444526839 ,240
4977444526846 ,240
4977444526853 ,240
4977444526860 ,240
4977444526877 ,240
4977444526884 ,240
4977444526891 ,240
4977444526907 ,240
4977444526914 ,240
4977444526921 ,240
4977444526938 ,240
4977444526945 ,240
4977444526952 ,240
4977444526969 ,240
4977444526976 ,240
4977444526983 ,240
4977444526990 ,240
4977444527003 ,240
4977444527010 ,240
4977444527027 ,280
4977444527034 ,280
4977444527041 ,280
4977444527058 ,280
4977444527065 ,280
4977444527072 ,280
4977444527089 ,280
4977444527096 ,280
4977444527102 ,280
4977444527119 ,280
4977444527126 ,280
4977444527133 ,280
4977444527140 ,280
4977444527157 ,280
4977444527164 ,280
4977444527171 ,280
4977444527188 ,280
4977444527195 ,280
4977444527201 ,280
4977444527218 ,280
4977444527225 ,280
4977444527232 ,280
4977444527249 ,280
4977444527256 ,280
4977444527263 ,280
4977444526310 ,440
4977444526327 ,440
4977444526334 ,440
4977444526341 ,520
4977444526358 ,580
4977444526365 ,700
4977444538160 ,280
4977444540330 ,350
4977444697898 ,30000
