"部門ID","商品コード","商品名","商品単価","グループコード","商品ID"
"2","4977444995246","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 24","320","ハマナカ","4977444995246"
"2","4977444995208","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 20","320","ハマナカ","4977444995208"
"2","4977444995185","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 18","320","ハマナカ","4977444995185"
"2","4977444995161","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 16","320","ハマナカ","4977444995161"
"2","4977444995130","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 13","320","ハマナカ","4977444995130"
"2","4977444995123","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 12","320","ハマナカ","4977444995123"
"2","4977444995109","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 10","320","ハマナカ","4977444995109"
"2","4977444995093","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 9","320","ハマナカ","4977444995093"
"2","4977444995086","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 8","320","ハマナカ","4977444995086"
"2","4977444995062","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 6","320","ハマナカ","4977444995062"
"2","4977444995055","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 5","320","ハマナカ","4977444995055"
"2","4977444995024","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 2","320","ハマナカ","4977444995024"
"2","4977444995017","ﾊﾏﾅｶ ｱﾐｱﾐｺｯﾄﾝ No. 1","320","ハマナカ","4977444995017"
"2","4977444992313","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 31","450","ハマナカ","4977444992313"
"2","4977444992306","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 30","450","ハマナカ","4977444992306"
"2","4977444992290","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 29","450","ハマナカ","4977444992290"
"2","4977444992283","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 28","450","ハマナカ","4977444992283"
"2","4977444992276","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 27","450","ハマナカ","4977444992276"
"2","4977444992269","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 26","450","ハマナカ","4977444992269"
"2","4977444992214","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 21","450","ハマナカ","4977444992214"
"2","4977444992207","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 20","450","ハマナカ","4977444992207"
"2","4977444992184","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 18","450","ハマナカ","4977444992184"
"2","4977444992160","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 16","450","ハマナカ","4977444992160"
"2","4977444992153","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 15","450","ハマナカ","4977444992153"
"2","4977444992146","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 14","450","ハマナカ","4977444992146"
"2","4977444992139","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 13","450","ハマナカ","4977444992139"
"2","4977444992122","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 12","450","ハマナカ","4977444992122"
"2","4977444992115","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 11","450","ハマナカ","4977444992115"
"2","4977444992108","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 10","450","ハマナカ","4977444992108"
"2","4977444992092","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 9","450","ハマナカ","4977444992092"
"2","4977444992085","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 8","450","ハマナカ","4977444992085"
"2","4977444992061","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 6","450","ハマナカ","4977444992061"
"2","4977444992054","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 5","450","ハマナカ","4977444992054"
"2","4977444992030","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 3","450","ハマナカ","4977444992030"
"2","4977444992023","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ No. 2","450","ハマナカ","4977444992023"
"2","4977444992016","ﾊﾏﾅｶ ｴｺｸﾗﾌﾄ(ﾍﾞｰｼﾞｭ) No. 1","390","ハマナカ","4977444992016"
"1","4977444789838","ﾊﾏﾅｶ ｿﾉﾓﾉｽｰﾘｰｱﾙﾊﾟｶ No. 83","500","ハマナカ","4977444789838"
"1","4977444789821","ﾊﾏﾅｶ ｿﾉﾓﾉｽｰﾘｰｱﾙﾊﾟｶ No. 82","500","ハマナカ","4977444789821"
"1","4977444789814","ﾊﾏﾅｶ ｿﾉﾓﾉｽｰﾘｰｱﾙﾊﾟｶ No. 81","500","ハマナカ","4977444789814"
"2","4977444773684","ﾊﾏﾅｶ ﾌﾗｯｸｽK No.208","390","ハマナカ","4977444773684"
"2","4977444773585","ﾊﾏﾅｶ ﾌﾗｯｸｽC No.108","390","ハマナカ","4977444773585"
"2","4977444773462","ﾊﾏﾅｶ ﾌﾗｯｸｽK No.207","390","ハマナカ","4977444773462"
"2","4977444773455","ﾊﾏﾅｶ ﾌﾗｯｸｽK No.206","390","ハマナカ","4977444773455"
"2","4977444773448","ﾊﾏﾅｶ ﾌﾗｯｸｽC No.107","390","ハマナカ","4977444773448"
"2","4977444773431","ﾊﾏﾅｶ ﾌﾗｯｸｽC No.106","390","ハマナカ","4977444773431"
"2","4977444773424","ﾊﾏﾅｶ ﾌﾗｯｸｽK No.205","390","ハマナカ","4977444773424"
"2","4977444773370","ﾊﾏﾅｶ ﾌﾗｯｸｽK No.203","390","ハマナカ","4977444773370"
"2","4977444773356","ﾊﾏﾅｶ ﾌﾗｯｸｽK No.201","390","ハマナカ","4977444773356"
"2","4977444773332","ﾊﾏﾅｶ ﾌﾗｯｸｽC No.103","390","ハマナカ","4977444773332"
"2","4977444773318","ﾊﾏﾅｶ ﾌﾗｯｸｽC No.101","390","ハマナカ","4977444773318"
"2","4977444773172","ﾊﾏﾅｶ ﾌﾗｯｸｽK No. 17","390","ハマナカ","4977444773172"
"2","4977444773165","ﾊﾏﾅｶ ﾌﾗｯｸｽK No. 16","390","ハマナカ","4977444773165"
"2","4977444773141","ﾊﾏﾅｶ ﾌﾗｯｸｽK No. 14","390","ハマナカ","4977444773141"
"2","4977444773134","ﾊﾏﾅｶ ﾌﾗｯｸｽK No. 13","390","ハマナカ","4977444773134"
"2","4977444773127","ﾊﾏﾅｶ ﾌﾗｯｸｽK No. 12","390","ハマナカ","4977444773127"
"2","4977444773110","ﾊﾏﾅｶ ﾌﾗｯｸｽK No. 11","390","ハマナカ","4977444773110"
"2","4977444773073","ﾊﾏﾅｶ ﾌﾗｯｸｽC No. 7","390","ハマナカ","4977444773073"
"2","4977444773066","ﾊﾏﾅｶ ﾌﾗｯｸｽC No. 6","390","ハマナカ","4977444773066"
"2","4977444773059","ﾊﾏﾅｶ ﾌﾗｯｸｽC No. 5","390","ハマナカ","4977444773059"
"2","4977444773035","ﾊﾏﾅｶ ﾌﾗｯｸｽC No. 3","390","ハマナカ","4977444773035"
"2","4977444773028","ﾊﾏﾅｶ ﾌﾗｯｸｽC No. 2","390","ハマナカ","4977444773028"
"2","4977444773011","ﾊﾏﾅｶ ﾌﾗｯｸｽC No. 1","390","ハマナカ","4977444773011"
"2","4977444766808","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.130","390","ハマナカ","4977444766808"
"2","4977444766792","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.129","390","ハマナカ","4977444766792"
"2","4977444766778","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.127","390","ハマナカ","4977444766778"
"2","4977444766747","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.124","390","ハマナカ","4977444766747"
"2","4977444766730","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.123","390","ハマナカ","4977444766730"
"2","4977444766723","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.122","390","ハマナカ","4977444766723"
"2","4977444766709","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.120","390","ハマナカ","4977444766709"
"2","4977444766686","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.118","390","ハマナカ","4977444766686"
"2","4977444766679","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.117","390","ハマナカ","4977444766679"
"2","4977444766631","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.113","390","ハマナカ","4977444766631"
"2","4977444766617","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.111","390","ハマナカ","4977444766617"
"2","4977444766600","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.110","390","ハマナカ","4977444766600"
"2","4977444766587","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.108","390","ハマナカ","4977444766587"
"2","4977444766549","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.104","390","ハマナカ","4977444766549"
"2","4977444766525","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.102","390","ハマナカ","4977444766525"
"2","4977444766518","ﾊﾏﾅｶ ｳｵｯｼｭｺｯﾄﾝ<ｸﾛｯｼｪ> No.101","390","ハマナカ","4977444766518"
"2","4977444764163","ﾊﾏﾅｶ ｽﾊﾟﾝｸﾞﾗｽ No. 16","780","ハマナカ","4977444764163"
"2","4977444764125","ﾊﾏﾅｶ ｽﾊﾟﾝｸﾞﾗｽ No. 12","780","ハマナカ","4977444764125"
"2","4977444764064","ﾊﾏﾅｶ ｽﾊﾟﾝｸﾞﾗｽ No. 6","780","ハマナカ","4977444764064"
"2","4977444764057","ﾊﾏﾅｶ ｽﾊﾟﾝｸﾞﾗｽ No. 5","780","ハマナカ","4977444764057"
"2","4977444764033","ﾊﾏﾅｶ ｽﾊﾟﾝｸﾞﾗｽ No. 3","780","ハマナカ","4977444764033"
"2","4977444764019","ﾊﾏﾅｶ ｽﾊﾟﾝｸﾞﾗｽ No. 1","780","ハマナカ","4977444764019"
"1","4977444749757","ﾊﾏﾅｶ ｿﾉﾓﾉﾂｨｰﾄﾞ No. 75","780","ハマナカ","4977444749757"
"1","4977444749740","ﾊﾏﾅｶ ｿﾉﾓﾉﾂｨｰﾄﾞ No. 74","780","ハマナカ","4977444749740"
"1","4977444749733","ﾊﾏﾅｶ ｿﾉﾓﾉﾂｨｰﾄﾞ No. 73","780","ハマナカ","4977444749733"
"1","4977444749726","ﾊﾏﾅｶ ｿﾉﾓﾉﾂｨｰﾄﾞ No. 72","780","ハマナカ","4977444749726"
"1","4977444749719","ﾊﾏﾅｶ ｿﾉﾓﾉﾂｨｰﾄﾞ No. 71","780","ハマナカ","4977444749719"
"1","4977444746657","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ<ﾅﾐﾌﾞﾄ> No. 65","580","ハマナカ","4977444746657"
"1","4977444746640","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ<ﾅﾐﾌﾞﾄ> No. 64","580","ハマナカ","4977444746640"
"1","4977444746633","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ<ﾅﾐﾌﾞﾄ> No. 63","580","ハマナカ","4977444746633"
"1","4977444746626","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ<ﾅﾐﾌﾞﾄ> No. 62","580","ハマナカ","4977444746626"
